CategoryName,LastUpdateTime,LocationName,PostURL,RecruitPostName,Responsibility
技术,2023年02月01日,深圳,http://careers.tencent.com/jobdesc.html?postId=1556571564365848576,前端开发工程师,负责计费营销saas业务的前端开发工作，通过前端工程化、组件化、可视化的方法，实现前端UI表现和前端逻辑组件的快速生成；负责系统的架构设计、评审、技术攻坚与优化；负责系统文档撰写、维护
技术,2023年02月01日,武汉,http://careers.tencent.com/jobdesc.html?postId=1556571041185144832,云原生应用研发工程师(CSIG全资子公司)（武汉）,腾讯云专有云产品中心核心技术团队，以腾讯云产品扎实的技术沉淀为依托，在云原生的技术浪潮中，打造可灰度，可回滚，可观测，可多活的精细化调度与智能管控体系，提供基础技术中间件和数据库支撑服务，参与容器化和非容器化应用的精细化调度、智能平台运维、全应用生命周期托管，大数据产品和人工智能产品接入等方向的建设。
技术,2023年02月01日,广州,http://careers.tencent.com/jobdesc.html?postId=1537315287227965440,15585-雪中悍刀行-服务器开发工程师(广州),"负责手机游戏服务器逻辑功能设计编码以及运营开发工作；负责部分服务器端的架构工作；负责部分服务器端的性能优化工作。"
技术,2023年02月01日,广州,http://careers.tencent.com/jobdesc.html?postId=1537315286691094528,15585-雪中悍刀行-客户端开发工程师（广州）,负责游戏客户端逻辑功能和核心模块的开发； 负责对Unreal Engine进行性能优化和支持； 负责美术、策划工具的开发。
技术,2023年02月01日,西安,http://careers.tencent.com/jobdesc.html?postId=1567415624974475264,31504-网络运维工程师（CSIG全资子公司),1、负责腾讯云公有云和私有云机房网络、VPC、负载均衡平台的规划，建设，不断提升运维效率；2、负责对网络问题分析解决，形成方法论，提升团队技术能力；3、负责通过技术手段、流程制度提升平台网络可用性；4、负责分析业务不合理、不高效地方，提出优化改进方案并推进实施。此岗位为腾讯集团旗下全资子公司编制岗位。
技术,2023年02月01日,重庆,http://careers.tencent.com/jobdesc.html?postId=1567417218671583232,31504-大客户售后咨询顾问-海外（CSIG全资子公司）,1、深入了解大客户的业务场景，结合腾讯云产品特性帮助大客户解决云上的技术问题，并协助客户扩容调整及优化业务架构；2、通过IM/电话/远程/拜访会面等方式与客户紧密交流，洞察用户痛点及产品工具改进点，持续提升客户满意度及产品体验；3、提供主动服务帮助客户预见并规避问题发生，快速发现定位并处理用户的网络/负载均衡/服务器/存储/数据库等问题及故障；4、持续学习和提升自身专业度，与内部前后方同事紧密协作并提升问题处理效率，提供令客户满意甚至超出预期的专业技术服务。
技术,2023年02月01日,深圳,http://careers.tencent.com/jobdesc.html?postId=1546182180047167488,15851-游戏语音合成方向研究员senior researcher（深圳/洛杉矶/新加坡）（深圳）,"负责语音合成相关算法的研发工作，快速应用到业务中；追踪语音合成方向的前沿研究，改进现有方法，撰写论文专利；研究，设计，实施，评估和优化新颖的算法/模型，从而提高实际场景中的性能。Responsible for TTS algorithms and other research and development work，quickly apply them to business;Follow the latest developments in academia and improve existing methods and publish papers;Research, design, implement, evaluate and optimize novel algorithms/models that lead to improved performance in real world scenarios."
技术,2023年02月01日,深圳,http://careers.tencent.com/jobdesc.html?postId=1546182182077210624,15851-光子游戏数据挖掘研究员 Data Mining Researcher（深圳）,"运用机器学习、深度学习、社交网络挖掘等技术，支持游戏数据应用项目的落地;负责从大规模数据中深入统计分析，挖掘用户行为，挖掘用户属性，构建用户画像;通过分析挖掘数据，解决用户的痛点并产出提升用户留存的方案;优化现有线上算法，结合实际业务需求与数据，利用分布式计算框架，研发高效可靠的数据挖掘解决方案;跟踪学术界和业界最新进展，解决社交海量数据环境下遇到的各种极具挑战的难题，并能够快速应用到业务中Applying machine learning, deep learning, social-network data mining with game data for providing game corresponding services.Response for deep statistics analysis from large-scale data, mining for user behavior and attributes, building user portraits.By datamining and analysis, solving user pain point and proposing strategies improving user retention.Improving online algorithms, combining business requirements and data, by using distributed computation platform, develop efficient and reliable data mining solutions."
产品,2023年02月01日,深圳,http://careers.tencent.com/jobdesc.html?postId=1567379462792683520,50111-阅读产品经理,负责QQ浏览器阅读产品功能策划，包括：书城框架规划、用户追更/续读/找书路径的体验和效率提升、用户在话题/书评等场景互动机制设计，持续提升用户的活跃和留存度负责有声、小游戏、短故事等创新方向的产品设计，不断扩充新的内容类型，满足用户娱乐需求
技术,2023年02月01日,西安,http://careers.tencent.com/jobdesc.html?postId=1599980250752622592,CSIG17-云存储系统测试工程师（CSIG全资子公司）（西安）,负责包括对象存储，块存储，文件存储等分布式存储产品的测试工作； 负责分析产品需求，架构，设计测试方法和测试用例； 负责产品功能，性能测试、竞品分析、稳定性，可靠性等专项测试工作 负责建设产品相关的自动化测试、Devops等工作；不断改进测试过程、方法和技术，提升产品质量。
设计,2023年02月01日,上海,http://careers.tencent.com/jobdesc.html?postId=1602543926214926336,57570-资深角色原画,负责二次元虚拟形象的绘制工作，包括但不限于角色，海报，各种宣传品等；在游戏设定的基础上进行符合风格的世界观扩充表现，对角色资产进行后续监修以及修正;深刻理解游戏形象的推广运营表现方法，通过优秀的视觉高度吻合策划需求，结合现有产品进行商业化输出；关注游戏产业趋势，乐于分享，可以把时下特色潮流融入到项目中；良好的沟通，出色的团队协作能力，不偏激不主观，遵从客观事实。
技术,2023年02月01日,武汉,http://careers.tencent.com/jobdesc.html?postId=1522444730871324672,CSIG15-智能客服后台开发工程师（CSIG全资子公司）,"1. 负责基于人工智能（ASR，NLP，TTS，BI）的各种软件产品的技术设计与开发实现2. 负责智能客服相关产品功能需求的研发3. 负责平台配套工具开发, 注重效率提升及产品性能优化等"
技术,2023年02月01日,武汉,http://careers.tencent.com/jobdesc.html?postId=1522444731882151936,CSIG15-云小微后台开发工程师（CSIG全资子公司）,"1、负责ASR、TTS、NLP模型服务化及周边工程化建设；2、负责云小微运营系统的方案设计与开发实现；3、负责平台配套工具开发, 注重效率提升及产品性能优化等。"
